primes,entropy
57923,6.672378271324088
18493,6.672371849350143
14897,6.672356394874035
14879,6.672261453927249
29837,6.672235466778703
51329,6.671986557934378
53189,6.671686570972071
24197,6.671626957653304
16759,6.671563859770831
39581,6.6714793690944925
14759,6.671314012634803
19843,6.67121677250983
16273,6.6710852580786675
32497,6.671063376246458
19463,6.671009208758088
82193,6.670993782151735
27631,6.67097312881024
31687,6.670890339152127
13267,6.670885730961186
51839,6.670787930577207
52379,6.670690922899643
13469,6.6705478284315864
29387,6.670476984377689
35617,6.670404799516554
42139,6.67037871793546
27691,6.670256167522053
42197,6.670251748140442
27143,6.6701886963403485
29473,6.670104842619382
23417,6.67004244497995
24793,6.669527188396535
34157,6.669475129637625
49123,6.669407865960723
51893,6.669404819830366
57329,6.669350129052144
23167,6.669328626315933
45137,6.669156549857203
27961,6.668963813288025
35291,6.668956655082009
21943,6.668956548630394
13249,6.6687732885541
29147,6.668530530942575
72953,6.668512862146483
29437,6.6684973998457915
35419,6.668341341017589
13649,6.668309832109045
52391,6.668304509822043
82139,6.668231125430561
23497,6.668077072372962
28793,6.667997006156681
34129,6.667974983522822
54193,6.667740063764699
53927,6.667700303119185
59723,6.6676375913120065
26713,6.6676141208106685
18637,6.6675746165948935
39451,6.667500503723707
23671,6.667464892541937
31547,6.667257746241115
37589,6.667251466055901
34127,6.667243054127115
27431,6.667129479724683
39827,6.667125393555692
39821,6.6671149381762564
35897,6.667002428004404
42179,6.66697235577177
35149,6.666961838870986
51239,6.666901258916988
32479,6.66689084070436
89123,6.6668151446260655
51437,6.666771083868786
29167,6.6667393731961955
35279,6.666723987725065
42937,6.666657627858933
24917,6.666637162450566
42793,6.6666227385944845
27361,6.666344488553669
28319,6.666300206659381
82913,6.666272113154382
24179,6.666244328875184
31567,6.666108829248778
51439,6.666106592025923
41953,6.666100096905142
39251,6.666043798658241
23761,6.6660127649488405
34159,6.666003869244859
47129,6.665907736639065
42719,6.665890704722813
51637,6.6658688368147825
19867,6.665826996396922
73529,6.665702695452787
18679,6.665700245910592
47123,6.665658410560793
21347,6.665600733448199
45197,6.6655504699487045
45139,6.665476924665881
82793,6.6654655240038405
18743,6.66543262351284
72893,6.665391655564375
35491,6.665382960962029
85193,6.665102884102047
24317,6.6649735763946865
89153,6.664859984607056
91823,6.664841881037838
41539,6.664799369737548
49157,6.664727150730664
41927,6.664679196811915
41593,6.664561993557438
51673,6.664496332032211
27943,6.664465114846354
24371,6.664260867208515
43159,6.664203530696307
97523,6.6641007660455
51473,6.664061882099594
41357,6.664035343665651
57163,6.663960065025596
47189,6.663927510559556
32749,6.663827812042785
26317,6.663731837069797
92753,6.6637166887201165
18947,6.663585405303656
26731,6.663563889405845
41957,6.663486602169046
27941,6.663477435897158
41729,6.663476572274197
14369,6.663447667579604
35671,6.663413559310025
75329,6.663404921116042
42397,6.663387828057312
23741,6.6633545352831804
58193,6.663295167676891
24391,6.663283731880619
39857,6.663239997446577
19267,6.663196440459978
43189,6.663153785137892
24971,6.663151779086549
16943,6.66311729840894
47819,6.663029435635349
72613,6.663015539765479
47513,6.662997421885232
32941,6.662950047355039
29671,6.662905700602967
18749,6.662855205861349
