,first_prime,first_entropy,avg_second_entropy,total_entropy,second_prime
80,51329,6.671986557934378,4.936680877677084,11.608667435611462,80473.0
81,52817,6.488692924289513,5.119891575411663,11.608584499701177,40933.0
82,24781,6.49416090008903,5.114413540533113,11.608574440622142,35099.0
83,18593,6.676582682575197,4.931840752937313,11.60842343551251,74209.0
84,24371,6.664260867208515,4.944156182720013,11.608417049928528,85093.0
85,83579,6.651225413607026,4.957177801148457,11.608403214755484,10243.0
86,81359,6.657793204520978,4.950539588259505,11.608332792780484,42071.0
87,67189,6.652749252946306,4.955552182622631,11.608301435568936,20357.0
88,51839,6.670787930577207,4.937496873369482,11.608284803946688,42071.0
89,64793,6.638037752091584,4.970190461435252,11.608228213526836,25087.0
90,37619,6.587965160718409,5.020195379765623,11.608160540484032,15287.0
91,48193,6.658373309611727,4.949686702966472,11.6080600125782,27509.0
